WaistBack-x,WaistBack-y,WaistBack-z,WaistL-x,WaistL-y,WaistL-z,LKnee-x,LKnee-y,LKnee-z,LAnkleOut-x,LAnkleOut-y,LAnkleOut-z,WaistR-x,WaistR-y,WaistR-z,RKnee-x,RKnee-y,RKnee-z,RAnkleOut-x,RAnkleOut-y,RAnkleOut-z,SpineThoracic12-x,SpineThoracic12-y,SpineThoracic12-z,UpperTorso-x,UpperTorso-y,UpperTorso-z,NeckBase-x,NeckBase-y,NeckBase-z,CenterHead-x,CenterHead-y,CenterHead-z,RShoulderTop-x,RShoulderTop-y,RShoulderTop-z,RElbow-x,RElbow-y,RElbow-z,RHand-x,RHand-y,RHand-z,LShoulderTop-x,LShoulderTop-y,LShoulderTop-z,LElbow-x,LElbow-y,LElbow-z,LHand-x,LHand-y,LHand-z,RForefoot-x,RForefoot-y,RForefoot-z,LForefoot-x,LForefoot-y,LForefoot-z
869.232,514.902,1126.789,968.763,705.824,1098.568,1245.429,601.8025,640.8495,971.445,616.964,289.955,997.111,361.619,1085.016,834.924,460.1385,558.521,561.038,428.078,218.277,891.158,509.021,1386.855,1023.1555,554.592,1504.854,1062.35475,555.8895,1667.5005,1117.3336666666669,558.549,1776.2776666666668,1110.373,385.665,1546.745,1114.639,224.4165,1250.1260000000002,1208.9944999999998,414.5865,1370.15,983.519,728.815,1572.846,688.7155,750.973,1397.7134999999998,885.1485,772.5225,1244.8895,657.0245,466.3625,73.483,1096.239,627.014,166.7025
871.592,513.296,1131.74,969.368,705.747,1105.703,1245.975,602.3389999999999,645.943,994.986,615.041,277.18,1001.204,361.833,1088.648,825.6895,459.907,566.383,550.048,426.451,228.028,892.469,508.244,1392.432,1023.33,555.6235,1509.43,1063.11825,557.52275,1671.34875,1118.244,560.2443333333333,1779.4886666666669,1112.384,388.151,1552.079,1113.975,225.4745,1254.6935,1206.6125,417.064,1373.9965,982.819,729.349,1576.12,686.4355,747.0905,1403.98,882.6825,772.4055000000001,1252.079,635.697,465.0515,73.26499999999999,1128.4125,624.3185,163.31799999999998
873.64,511.744,1136.695,969.976,705.716,1112.719,1245.9705,602.9175,649.9265,1018.73,613.389,264.768,1004.862,362.034,1092.097,818.119,459.875,574.0025,539.629,424.909,238.547,893.705,507.613,1397.581,1023.523,556.6514999999999,1513.6455,1063.9565,559.2025,1674.82075,1119.1313333333335,561.9699999999999,1782.388333333333,1114.582,390.64,1556.909,1113.194,226.2405,1258.922,1203.8290000000002,419.8965,1376.548,982.215,729.977,1579.035,684.2215,743.3530000000001,1409.522,880.7015,772.2335,1258.544,614.963,465.092,73.797,1160.2305,621.284,160.9335
875.73,510.472,1141.415,970.386,705.651,1119.36,1245.5555,603.527,652.787,1042.809,612.008,252.697,1008.088,361.92,1095.505,812.0485,460.02,581.087,529.242,423.088,249.708,894.756,506.812,1402.343,1023.796,557.7775,1517.4340000000002,1064.92625,560.77575,1677.915,1120.2050000000002,563.5323333333333,1785.035,1117.006,393.151,1561.146,1111.9450000000002,226.768,1262.7910000000002,1201.1475,422.374,1378.197,981.542,730.523,1581.628,682.117,740.0554999999999,1414.2804999999998,879.0805,772.271,1264.49,593.5274999999999,465.8955,74.5035,1191.1305,617.5989999999999,159.34
877.592,509.406,1145.932,971.009,705.425,1125.639,1244.56,604.012,654.3879999999999,1066.916,610.007,241.283,1010.766,361.762,1099.03,807.622,460.309,587.4245000000001,518.868,421.324,261.1,895.596,505.897,1406.673,1024.226,558.827,1520.787,1065.86175,562.2275,1680.456,1121.1519999999998,565.0316666666666,1787.3246666666666,1119.445,395.218,1564.496,1110.3765,226.8285,1266.402,1198.788,424.1295,1379.257,980.852,731.093,1583.68,680.491,736.9884999999999,1418.023,877.9725,772.4175,1269.942,0.0,0.0,0.0,1221.5025,614.1125,159.2075
879.099,508.535,1150.185,971.834,704.84,1131.338,1243.0765,604.3955,654.9805,1090.906,608.602,230.729,1012.902,361.588,1102.59,804.952,460.844,592.3495,507.905,419.681,272.46,896.708,505.106,1410.48,1024.6915,559.832,1523.6855,1066.8964999999998,563.5360000000001,1682.7445000000002,1122.3086666666666,566.4620000000001,1789.4846666666665,1122.097,397.154,1567.419,1108.1495,226.769,1269.2995,1196.5079999999998,425.677,1379.4065,980.049,731.492,1585.425,679.062,734.3565,1421.104,877.182,772.5364999999999,1274.682,0.0,0.0,0.0,1250.9054999999998,610.702,160.2275
880.626,507.719,1153.913,972.745,703.907,1136.156,1240.957,604.727,654.381,1114.585,607.169,221.214,1014.625,361.437,1106.104,803.957,461.8195,595.0485,495.642,418.043,285.206,897.873,504.119,1413.839,1025.4685,560.8389999999999,1526.216,1068.0315,564.85325,1684.66375,1123.5973333333332,567.9163333333332,1791.4166666666667,1124.686,398.888,1569.84,1105.475,226.3725,1271.9585000000002,1194.4405,426.8515,1378.769,979.392,731.996,1586.698,677.9905,732.1175000000001,1423.384,876.9165,772.856,1278.9275,0.0,0.0,0.0,1279.0395,607.1795,162.4565
881.624,507.164,1157.312,973.473,702.637,1139.798,1238.2465,604.973,652.8865000000001,1137.9,606.031,212.992,1015.797,361.327,1109.588,804.408,463.2525,596.6804999999999,484.002,416.528,298.87,898.991,503.504,1416.764,1026.08,561.576,1528.337,1069.2025,566.0425,1686.30525,1124.9623333333332,569.2846666666667,1793.1343333333334,1127.212,400.405,1571.721,1102.44,225.9655,1274.2625,1192.5875,427.663,1377.469,978.788,732.489,1587.832,677.1935,730.358,1424.908,877.0595,773.3679999999999,1282.5839999999998,0.0,0.0,0.0,1305.6325000000002,603.7004999999999,165.809
882.109,506.843,1160.19,973.83,701.326,1142.318,1235.172,605.163,650.639,1160.012,604.779,205.924,1016.469,361.204,1112.991,805.928,464.6045,597.499,473.048,415.243,313.01,899.824,502.744,1419.385,1026.7635,562.2270000000001,1530.1985,1070.3384999999998,567.2205,1687.6935,1126.342666666667,570.6276666666666,1794.6763333333336,1129.562,401.724,1573.167,1098.999,225.269,1276.326,1190.746,428.3165,1375.417,978.29,733.149,1588.767,676.7175,728.8165,1425.7240000000002,877.662,773.908,1285.555,0.0,0.0,0.0,1330.4585000000002,600.462,170.3215
882.311,506.662,1162.413,974.072,700.199,1144.066,1231.5794999999998,605.3019999999999,647.826,1180.89,603.927,200.243,1016.742,361.146,1116.177,808.5844999999999,465.83,597.702,462.845,414.046,327.67,900.656,502.173,1421.592,1027.4695000000002,562.8125,1531.699,1071.554,568.2515000000001,1688.84975,1127.88,571.9343333333333,1795.9596666666666,1131.745,402.62,1574.303,1095.0555,224.5325,1278.0594999999998,1189.081,428.772,1372.6455,977.92,733.742,1589.593,676.681,727.616,1425.7795,878.8225,774.4794999999999,1287.9285,0.0,0.0,0.0,1353.0594999999998,597.1365,175.862
